conductor,eddyLosses_W,coreLosses_VA,current_A,GroupCount_rmsResults,iSecAbs_A_RMS,GroupCount_tempTable,bAvgMagnitude_T_RMS,GroupCount_rmsResults_1,hAvgMagnitude_A_m_RMS,GroupCount_tempTable_1,storedEnergy_J_RMS
L2,21616.3657500802,-281423.070172609+934.710209021603i,4900,1,3.59858127769279e+15,1,2.10283342848781e+16,1,0.0984302589661176,1,22.393384508686
L2,21616.3657500802,-292622.473849753+961.949500068953i,5000,1,3.67197054299984e+15,1,2.18947815881139e+16,1,0.0914409449422518,1,22.393384508686
L2,21616.3657500802,-293023.232593875+971.710069049174i,5000,1,3.67199868759375e+15,1,2.18951172238531e+16,1,0.228514418391279,1,22.393384508686
L2,21616.3657500802,-355708.934376299+1164.24658974316i,4500,1,4.04748903604969e+15,1,2.66019579158414e+16,1,0.047747480345691,1,22.393384508686
L2,21616.3657500802,-355982.32315419+1173.95922351744i,4500,1,4.04748936752112e+15,1,2.66019622731404e+16,1,0.0907768975220663,1,22.393384508686
L2,21616.3657500802,-371688.250606152+1229.98661440688i,4600,1,4.13745418311085e+15,1,2.77976853821078e+16,1,0.404038881773785,1,22.393384508686
L2,21616.3657500802,-371970.026030888+1224.21590831517i,4600,1,4.1374503844063e+15,1,2.7797634338695e+16,1,0.0287194807938581,1,22.393384508686
L2,21616.3657500802,-388021.692994643+1277.17637229055i,4700,1,4.22739693927954e+15,1,2.90193912158017e+16,1,0.0858060699433341,1,22.393384508686
L2,21616.3657500802,-388317.701602954+1269.50085634165i,4700,1,4.22738770348734e+15,1,2.90192644160114e+16,1,0.0616076695626635,1,22.393384508686
L2,21616.3657500802,-404711.099576558+1330.36580620212i,4800,1,4.31734035649032e+15,1,3.0267379012917e+16,1,0.0584450106348249,1,22.393384508686
L2,21616.3657500802,-405030.224432316+1329.48431562625i,4800,1,4.31733902864617e+15,1,3.02673603948679e+16,1,0.0215210800042359,1,22.393384508686
L2,21616.3657500802,-421743.398773922+1387.22087698167i,4900,1,4.40728267981846e+15,1,3.15416242335134e+16,1,0.0472254638453514,1,22.393384508686
L2,21616.3657500802,-422080.285093521+1384.97495125951i,4900,1,4.40729242930908e+15,1,3.1541763782346e+16,1,0.00340655771844833,1,22.393384508686
L2,21616.3657500802,-439138.214096011+1441.4998012306i,5000,1,4.49722046533365e+15,1,3.28420756191746e+16,1,0.0929844863468849,1,22.393384508686
L2,21616.3657500802,-439482.865466517+1434.29354334579i,5000,1,4.4972243098591e+15,1,3.28421317705075e+16,1,0.00114263848273918,1,22.393384508686
L2,21616.3657500802,-442619.355283255+1456.41806293242i,4500,1,4.51441264880376e+15,1,3.30936560053262e+16,1,0.226694075404229,1,22.393384508686
L2,21616.3657500802,-442783.617297051+1455.904385141i,4500,1,4.51439688244189e+15,1,3.30934248499807e+16,1,0.0680728976619307,1,22.393384508686
L2,21616.3657500802,-462518.769029918+1525.33979937416i,4600,1,4.61473216010594e+15,1,3.4580816170465e+16,1,0.335422701498881,1,22.393384508686
L2,21616.3657500802,-462670.231715103+1511.68406657132i,4600,1,4.61470830968884e+15,1,3.45804587220437e+16,1,0.0283938233541061,1,22.393384508686
L2,21616.3657500802,-474498.027742066+1560.11837063013i,4500,1,4.67365199861033e+15,1,3.54694932047456e+16,1,0.0880335019826218,1,22.393384508686
L2,21616.3657500802,-482845.516444132+1583.92177376869i,4700,1,4.71504133015217e+15,1,3.61005025715195e+16,1,0.00400556361500559,1,22.393384508686
L2,21616.3657500802,-483020.363625781+1583.32801276762i,4700,1,4.71506039016451e+15,1,3.61007944363437e+16,1,0.0645711570505343,1,22.393384508686
L2,21616.3657500802,-495813.741162236+1635.78073102895i,4600,1,4.77750314907846e+15,1,3.70633101673996e+16,1,0.0485825341277496,1,22.393384508686
L2,21616.3657500802,-503602.969307896+1657.93090714597i,4800,1,4.81536305403946e+15,1,3.7653063150927e+16,1,0.165366911881266,1,22.393384508686
L2,21616.3657500802,-503787.43704774+1653.15791291799i,4800,1,4.81535052256257e+15,1,3.76528671749768e+16,1,0.166729841845763,1,22.393384508686
L2,21616.3657500802,-517610.5038516+1703.22047887063i,4700,1,4.88136132254279e+15,1,3.86922648139914e+16,1,0.103999826026075,1,22.393384508686
L2,21616.3657500802,-524818.419817593+1729.8278069831i,4900,1,4.9157221967566e+15,1,3.92389071392082e+16,1,0.0531404051010592,1,22.393384508686
L2,21616.3657500802,-524994.322763783+1724.49665091453i,4900,1,4.91565935805739e+15,1,3.92379039476086e+16,1,0.0138756689158585,1,22.393384508686
L2,21616.3657500802,-539861.410934224+1770.45051344545i,4800,1,4.98521941526059e+15,1,4.03562492389638e+16,1,0.0303879097773657,1,22.393384508686
L2,21616.3657500802,-546440.453929977+1799.88504569629i,5000,1,5.01600430066322e+15,1,4.0856206549737e+16,1,0.0479966844297445,1,22.393384508686
L2,21616.3657500802,-546651.196758194+1794.0028956687i,5000,1,5.01600772496746e+15,1,4.08562623329097e+16,1,0.15288756741307,1,22.393384508686
