phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag,current_A
45,L2,1242.3314164921,1.29027593614705e+15,-1.29027593596645e+15,21587858352.1717,2.70338210997617e+15,-0.00676727943851686,21616.3657500802,-36125.6057559841+119.032058761411i,22.393384508686,0,0,4800
45,L3,-4636.44396618753,4.81896395459148e+15,4.81896395379861e+15,-87416424365.5141,3.76814546730891e+16,0.288871230598012,21616.3657500801,20840194.39631+112584.020968024i,5426.48482202869,0,0,4800
60,L1,2400,2.49392699104141e+15,-2.49392699097833e+15,17737822565.9477,1.00945108445443e+16,0.0135790584069632,21616.3657500801,4766486.36626389-99404.3663574299i,5426.48482202869,0,0,4800
60,L2,2400,2.49263685687865e+15,-2.49263685633922e+15,51857813913.6481,1.00892820890378e+16,0.0813889855829552,21616.3657500802,-135020.313240047+446.001536804403i,22.393384508686,0,0,4800
60,L3,-4800,4.98895345583643e+15,4.98895345571904e+15,-34225275274.8302,4.0386778590795e+16,-0.052240425776873,21616.3657500801,22337280.0900536+121136.836451678i,5426.48482202869,0,0,4800
75,L1,1242.3314164921,1.29093560886047e+15,-1.29093560886008e+15,1005161068.97608,2.70474878836865e+15,0.000184919612880569,21616.3657500801,1277285.38446393-26611.5871293821i,5426.48482202869,0,0,4800
75,L2,3394.11254969543,3.52512721077021e+15,-3.52512720988912e+15,78815777041.5083,2.01786370095407e+16,0.0122399513407325,21616.3657500802,-270055.696277164+891.326670365996i,22.393384508686,0,0,4800
75,L3,-4636.44396618753,4.81887232006071e+15,4.81887231903353e+15,99497153367.085,3.76800224194327e+16,-0.104982127784938,21616.3657500801,20840916.8173914+114171.519890733i,5426.48482202869,0,0,4800
90,L1,0,97383471.5224222,-97383462.9742343,40803.2395536197,0.262591484834354,3.85949148189792e-16,21616.3657500801,-3.17371146578335+6.09005895499449e-05i,5426.48482202869,0,0,4800
90,L2,4156.92193816531,4.31733902864617e+15,-4.31733902838044e+15,47900220448.2666,3.02673603948679e+16,-0.0215210800042359,21616.3657500802,-405030.224432316+1329.48431562625i,22.393384508686,0,0,4800
90,L3,-4156.92193816531,4.32054409128645e+15,4.32054409101364e+15,-48552386075.1958,3.02898555204637e+16,-0.102783209819691,21616.3657500801,16753805.4007535+90735.4427806876i,5426.48482202869,0,0,4800
105,L1,-1242.3314164921,1.29093917992771e+15,1.29093917988508e+15,-10491467218.6495,2.70476454090809e+15,0.00102255793596929,21616.3657500801,1276726.6445401-26638.1296394621i,5426.48482202869,0,0,4800
105,L2,4636.44396618753,4.81535052256257e+15,-4.81535052205767e+15,69731851630.3326,3.76528671749768e+16,0.166729841845763,21616.3657500802,-503787.43704774+1653.15791291799i,22.393384508686,0,0,4800
105,L3,-3394.11254969543,3.52771625725582e+15,3.52771625719502e+15,-20711640297.0864,2.01933149550322e+16,-0.030432625654293,21616.3657500801,11169979.5711023+60632.9883267147i,5426.48482202869,0,0,4800
120,L1,-2400,2.49389417203623e+15,2.49389417203598e+15,1122353275.77697,1.00942465330019e+16,0.0002411036954117,21616.3657500801,4765434.69956735-99310.616064989i,5426.48482202869,0,0,4800
120,L2,4800,4.98521941526059e+15,-4.98521941478973e+15,68517706806.029,4.03562492389638e+16,-0.0303879097773657,21616.3657500802,-539861.410934224+1770.45051344545i,22.393384508686,0,0,4800
